timestamp,test_name,trees_count,words_per_tree,total_words,balanced,memory_mb,memory_delta_mb,memory_per_word_bytes
5227.763756548,unbalanced,100,1,100,False,17.90625,0.0,0.0
5227.763969248,balanced,100,1,100,True,17.90625,0.0,0.0
5227.870271046,unbalanced,500,1,500,False,17.90625,0.0,0.0
5227.870482546,balanced,500,1,500,True,17.90625,0.0,0.0
5227.981316644,unbalanced,1000,1,1000,False,17.90625,0.0,0.0
5227.981845544,balanced,1000,1,1000,True,17.90625,0.0,0.0
5228.089487743,unbalanced,2000,1,2000,False,18.18359375,0.27734375,145.408
5228.090159943,balanced,2000,1,2000,True,18.18359375,0.27734375,145.408
5228.199659941,unbalanced,5000,1,5000,False,18.44140625,0.53515625,112.2304
5228.200195641,balanced,5000,1,5000,True,18.44140625,0.53515625,112.2304
5228.307553339,batch_1,50,1,50,True,18.69921875,0.79296875,16629.76
5228.411239838,batch_2,150,1,150,True,18.69921875,0.79296875,5543.253333333333
5228.514927636,batch_3,350,1,350,True,18.69921875,0.79296875,2375.68
5228.618494734,batch_4,850,1,850,True,18.69921875,0.79296875,978.2211764705883
5228.722613733,batch_5,1850,1,1850,True,18.69921875,0.79296875,449.452972972973
5228.828304431,batch_6,3850,1,3850,True,18.69921875,0.79296875,215.9709090909091
5228.92892583,final_balanced,3850,1,3850,True,18.69921875,0.79296875,215.9709090909091
