target_depth,points,actual_depth,memory_mb,memory_per_point,theoretical_max
1,10,1,0.0037078857421875,388.8,64
1,20,1,0.0037078857421875,194.4,64
1,50,2,0.0070037841796875,146.88,64
1,64,2,0.0102996826171875,168.75,64
2,50,2,0.0070037841796875,146.88,512
2,100,2,0.0267791748046875,280.8,512
2,200,3,0.0399627685546875,209.52,512
2,500,3,0.1124725341796875,235.872,512
2,512,3,0.1124725341796875,230.34375,512
3,500,3,0.1124725341796875,235.872,4096
3,1000,4,0.2311248779296875,242.352,4096
3,2000,4,0.3234100341796875,169.56,4096
3,4096,4,0.9463348388671875,242.26171875,4096
4,1000,4,0.2311248779296875,242.352,32768
4,5000,5,1.1671600341796875,244.7712,32768
4,10000,5,1.8889617919921875,198.072,32768
4,32768,5,8.876266479492188,284.04052734375,32768
5,5000,5,1.1671600341796875,244.7712,262144
5,20000,5,3.9192352294921875,205.4808,262144
5,50000,6,10.923019409179688,229.07232,262144
6,10000,5,1.8889617919921875,198.072,2097152
6,50000,6,10.923019409179688,229.07232,2097152
6,100000,6,13.764083862304688,144.32688,2097152
