points,memory,depth,subdivisions,memory_per_point
1,432,0,0,432.0
2,432,0,0,216.0
3,432,0,0,144.0
4,432,0,0,108.0
5,432,0,0,86.4
6,432,0,0,72.0
7,432,0,0,61.714285714285715
8,432,0,0,54.0
9,3888,1,1,432.0
10,17712,5,1,1771.2
11,17712,5,1,1610.1818181818182
12,17712,5,1,1476.0
13,17712,5,1,1362.4615384615386
14,17712,5,1,1265.142857142857
15,17712,5,1,1180.8
16,17712,5,1,1107.0
17,17712,5,1,1041.8823529411766
18,17712,5,1,984.0
19,17712,5,1,932.2105263157895
20,17712,5,1,885.6
